Sygnatura czasowa,Dyrygent ogłasza 10 minut przerwy. Twój standardowy ruch to:,"Dyrygent przerywa i mówi: 'Ten fragment brzmi fatalnie w waszym głosie'. Co myślisz?
2026-06-04 19:17:19,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,5,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,8,175,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:27:06,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,8,"Uśmiecham się szeroko i udaję, że tak miało być.",Równo z dzwonkiem,6,164,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:28:33,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,8,185,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 19:41:56,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,2,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Równo z dzwonkiem,6,176,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Tenor 1
2026-06-04 19:49:17,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,7,"Uśmiecham się szeroko i udaję, że tak miało być.",Zawsze 5 minut przed czasem,5,160,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 2
2026-06-04 19:54:58,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Nic nie myślę, po prostu czekam, aż zaczniemy znowu.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Tenor 2
2026-06-04 19:56:50,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,4,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,163,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:57:08,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,3,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 15 minut przed czasem,4,165,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 19:57:17,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,168,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 19:58:13,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,4,181,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-04 20:00:05,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,165,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 20:07:27,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Nic nie myślę, po prostu czekam, aż zaczniemy znowu.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,165,Obie skrajności są tak samo męczące.,"Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 1
2026-06-04 20:17:40,Idę pogadać z ludźmi z innych sekcji.,"Analizuję technicznie, co dokładnie robimy źle.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,3,"Uśmiecham się szeroko i udaję, że tak miało być.",kilka minutek nikogo nigdy nie zbawił,7,161,Obie skrajności są tak samo męczące.,,Alt 1
2026-06-04 20:25:49,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,1,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,187,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Bas (bas 2)
2026-06-04 20:31:02,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,2,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,kilka minutek nikogo nigdy nie zbawił,6,185,Obie skrajności są tak samo męczące.,"Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Tenor 2
2026-06-04 20:31:43,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Czarne,4,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,173,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-04 20:34:52,Idę pogadać z ludźmi z innych sekcji.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,1,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,170,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-04 20:36:20,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,8,168,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 20:43:21,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,4,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,193,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 20:51:26,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,2,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,7,172,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 21:12:01,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,7,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,184,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Baryton (bas 1)
2026-06-04 21:14:20,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,4,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 21:28:54,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,8,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,162,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 1
2026-06-04 21:40:47,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,5,175,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Tenor 1
2026-06-04 21:52:17,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,8,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,7,180,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 1
2026-06-04 21:53:05,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Rude,8,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,8,171,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Alt 2
2026-06-04 21:57:12,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,6,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,7,165,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-04 21:57:23,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,10,"Uśmiecham się szeroko i udaję, że tak miało być.",Zawsze 5 minut przed czasem,7,178,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-04 22:13:32,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,4,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,7,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-04 22:30:53,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.",Paraliżujący (zawsze bardzo się denerwuję).,Blond / Jasne,3,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,kilka minutek nikogo nigdy nie zbawił,8,167,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 23:30:59,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,9,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,6,177,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Baryton (bas 1)
2026-06-04 23:34:25,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,9,"Uśmiecham się szeroko i udaję, że tak miało być.",kilka minutek nikogo nigdy nie zbawił,7,164,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-04 23:35:40,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Rude,1,"Uśmiecham się szeroko i udaję, że tak miało być.",Równo z dzwonkiem,6,163,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-04 23:41:21,Idę pogadać z ludźmi z innych sekcji.,"Ja śpiewam dobrze, to reszta psuje.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,7,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 5 minut przed czasem,5,168,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 1
2026-06-05 07:32:59,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,9,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,6,166,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Alt 1
2026-06-05 08:23:07,Idę pogadać z ludźmi z innych sekcji.,"Ja śpiewam dobrze, to reszta psuje.","Zerowy (pełen luz, traktuję to rutynowo).",Brązowe / Szatyn,10,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,kilka minutek nikogo nigdy nie zbawił,7,188,Obie skrajności są tak samo męczące.,"Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Tenor 2
2026-06-05 09:01:30,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,3,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,7,155,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-05 09:13:20,Idę pogadać z ludźmi z innych sekcji.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,8,174,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-05 09:54:06,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Przestaję śpiewać i łapię się w następnym znanym mi momencie.,Zawsze 15 minut przed czasem,,170,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 2
2026-06-05 09:54:56,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,7,166,"Zejście bardzo nisko (głos traci moc, matowieje).","Często w ogóle siebie nie słyszę, zagłuszają mnie inni.",Sopran 2
2026-06-05 10:35:01,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,2,Śpiewam ciszej i próbuję płynnie wrócić.,Studencki kwadrans spóźnienia,6,167,"Zejście bardzo nisko (głos traci moc, matowieje).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 2
2026-06-05 11:29:58,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Nic nie myślę, po prostu czekam, aż zaczniemy znowu.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,8,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,6,168,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 2
2026-06-05 11:43:28,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Muszę się bardziej skupić, to pewnie też moja wina.","Zerowy (pełen luz, traktuję to rutynowo).",Blond / Jasne,8,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,5,163,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Alt 1
2026-06-05 12:16:08,Zostaję w swojej sekcji i dyskutujemy/śmieszkujemy.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,2,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 5 minut przed czasem,8,174,"Zejście bardzo nisko (głos traci moc, matowieje).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 2
2026-06-05 12:17:46,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.",Paraliżujący (zawsze bardzo się denerwuję).,Czarne,8,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,6,184,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Baryton (bas 1)
2026-06-05 16:35:04,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,8,"Uśmiecham się szeroko i udaję, że tak miało być.",Studencki kwadrans spóźnienia,7,172,Obie skrajności są tak samo męczące.,Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Sopran 1
2026-06-05 19:23:33,Idę pogadać z ludźmi z innych sekcji.,"Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Blond / Jasne,4,Śpiewam ciszej i próbuję płynnie wrócić.,Zawsze 15 minut przed czasem,7,174,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Sopran 1
2026-06-07 20:24:47,Wychodzę na zewnątrz / idę coś zjeść lub się napić.,"Analizuję technicznie, co dokładnie robimy źle.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,3,Śpiewam ciszej i próbuję płynnie wrócić.,Równo z dzwonkiem,5,187,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).",Mój głos łatwo wtapia się w brzmienie reszty chóru (tzw. blendowanie).,Bas (bas 2)
2026-06-08 17:42:41,"Zostaję na miejscu, wyciągam telefon / odpoczywam w ciszy.","Muszę się bardziej skupić, to pewnie też moja wina.","Motywujący (lekki dreszczyk emocji, który pomaga).",Brązowe / Szatyn,5,Śpiewam ciszej i próbuję płynnie wrócić.,kilka minutek nikogo nigdy nie zbawił,3,180,"Wejście bardzo wysoko (głos się zaciska, wymaga dużej siły).","Zawsze wyraźnie słyszę swój głos, ""przebija się"" przez inne.",Bas (bas 2)